query,optimized query
SELECT * FROM Professor WHERE first_name = 'John';,SELECT professor_id, last_name FROM Professor WHERE first_name = 'John' INDEX(first_name);
SELECT customer_id, MIN(total_amount) FROM orders GROUP BY customer_id;,CREATE INDEX idx_orders_customer_min_total_amount ON orders(customer_id, MIN(total_amount));
SELECT supplier_id, AVG(price) FROM products WHERE region = 'Europe' GROUP BY supplier_id;,CREATE INDEX idx_products_supplier_region_price ON products(supplier_id, region, price);
SELECT * FROM customers WHERE country = 'Brazil' AND last_purchase_date IS NOT NULL;,CREATE INDEX idx_customers_country_last_purchase_date ON customers(country, last_purchase_date);
SELECT department_id, MAX(salary) FROM employees GROUP BY department_id;,CREATE INDEX idx_employees_department_max_salary ON employees(department_id, MAX(salary));
SELECT category_id, MIN(stock_quantity) FROM inventory WHERE stock_quantity > 10 GROUP BY category_id;,CREATE INDEX idx_inventory_stock_quantity_high ON inventory(stock_quantity) WHERE stock_quantity > 10;
SELECT product_id, COUNT(*) FROM sales WHERE profit > 500 GROUP BY product_id;,CREATE INDEX idx_sales_profit ON sales(profit);
SELECT * FROM employees WHERE department_id = 5 AND age < 40;,CREATE INDEX idx_employees_department_age ON employees(department_id, age);
SELECT product_id, MAX(discount) FROM sales GROUP BY product_id;,CREATE INDEX idx_products_max_discount ON products(product_id, MAX(discount));
SELECT supplier_id, COUNT(DISTINCT product_id) FROM products WHERE stock_quantity > 30 GROUP BY supplier_id;,CREATE INDEX idx_sales_product_supplier_count_stock_quantity_high ON sales(product_id, supplier_id, COUNT(DISTINCT stock_quantity)) WHERE stock_quantity > 30;
SELECT * FROM products WHERE category_id = 5 AND price < 100;,CREATE INDEX idx_products_category_price ON products(category_id, price);
SELECT customer_id, AVG(total_amount) FROM orders WHERE payment_status = 'Pending' GROUP BY customer_id;,CREATE INDEX idx_orders_customer_pending_avg_total_amount ON orders(customer_id, AVG(total_amount)) WHERE payment_status = 'Pending';
SELECT * FROM customers WHERE country = 'Japan' AND email LIKE '%@example.com%';,CREATE INDEX idx_customers_country_email ON customers(country, email);
SELECT product_id, MIN(rating) FROM products GROUP BY product_id;,CREATE INDEX idx_products_min_rating ON products(product_id, MIN(rating));
SELECT * FROM orders WHERE order_date BETWEEN '2023-07-01' AND '2023-12-31';,CREATE INDEX idx_orders_order_date ON orders(order_date);
SELECT supplier_id, MAX(price) FROM products WHERE country = 'Japan' GROUP BY supplier_id;,CREATE INDEX idx_products_supplier_country_max_price ON products(supplier_id, country, MAX(price));
SELECT customer_id, COUNT(order_id) FROM orders GROUP BY customer_id HAVING COUNT(order_id) < 5;,CREATE INDEX idx_orders_customer_count_orders_less_than_5 ON orders(customer_id, COUNT(order_id)) WHERE COUNT(order_id) < 5;
SELECT category_id, AVG(stock_quantity) FROM inventory WHERE stock_quantity > 15 GROUP BY category_id;,CREATE INDEX idx_inventory_avg_stock_quantity ON inventory(category_id, AVG(stock_quantity)) WHERE stock_quantity > 15;
SELECT * FROM employees WHERE job_title = 'Data Scientist' AND salary > 90000;,CREATE INDEX idx_employees_job_salary ON employees(job_title, salary);
SELECT product_id, SUM(quantity_sold) FROM sales WHERE sale_date < '2023-01-01' GROUP BY product_id;,CREATE INDEX idx_sales_sale_date_sum_quantity_sold ON sales(sale_date, SUM(quantity_sold)) WHERE sale_date < '2023-01-01';
SELECT customer_id, MAX(total_amount) FROM orders GROUP BY customer_id;,CREATE INDEX idx_orders_customer_max_total_amount ON orders(customer_id, MAX(total_amount));
SELECT supplier_id, MIN(price) FROM products WHERE region = 'Asia' GROUP BY supplier_id;,CREATE INDEX idx_products_supplier_region_avg_price ON products(supplier_id, region, AVG(price));
SELECT * FROM customers WHERE country = 'Mexico' AND last_purchase_date IS NOT NULL;,CREATE INDEX idx_customers_country_last_purchase_date ON customers(country, last_purchase_date);
SELECT department_id, MIN(salary) FROM employees GROUP BY department_id;,CREATE INDEX idx_employees_department_min_salary ON employees(department_id, MIN(salary));
SELECT category_id, MAX(price) FROM products WHERE price > 50 GROUP BY category_id;,CREATE INDEX idx_products_category_max_price ON products(category_id, MAX(price)) WHERE price > 50;
SELECT product_id, COUNT(*) FROM sales WHERE profit > 1000 GROUP BY product_id;,CREATE INDEX idx_sales_profit ON sales(profit);
SELECT * FROM employees WHERE department_id = 7 AND age < 35;,CREATE INDEX idx_employees_department_age ON employees(department_id, age);
SELECT product_id, AVG(discount) FROM sales GROUP BY product_id;,CREATE INDEX idx_products_max_discount ON products(product_id, MAX(discount));
SELECT supplier_id, COUNT(DISTINCT product_id) FROM products WHERE stock_quantity > 20 GROUP BY supplier_id;,CREATE INDEX idx_sales_product_supplier_count_stock_quantity_high ON sales(product_id, supplier_id, COUNT(DISTINCT stock_quantity)) WHERE stock_quantity > 20;
SELECT * FROM products WHERE category_id = 7 AND rating >= 4.2;,CREATE INDEX idx_products_category_rating ON products(category_id, rating);
SELECT customer_id, AVG(quantity) FROM orders WHERE order_date BETWEEN '2023-07-01' AND '2023-12-31' GROUP BY customer_id;,CREATE INDEX idx_orders_customer_avg_quantity ON orders(customer_id, AVG(quantity)) WHERE order_date BETWEEN '2023-07-01' AND '2023-12-31';
SELECT region, MAX(revenue) FROM sales GROUP BY region;,CREATE INDEX idx_sales_region_max_revenue ON sales(region, MAX(revenue));
SELECT * FROM products WHERE supplier_id = 15 AND discount > 0.15;,CREATE INDEX idx_products_supplier_discount_high ON products(supplier_id, discount) WHERE supplier_id = 15 AND discount > 0.15;
